user_id,video_id,cbr_score
user_001,4677811932430388,0.9996460409097954
user_001,4695816603107409,0.999610979430097
user_001,4736081359470613,0.9995113213384471
user_001,4794446697660524,0.9994305147816
user_001,4783867228520563,0.9993458216076585
user_001,4925285896749098,0.9991734779704066
user_001,4925577505734700,0.9991724658989851
user_001,4926770097356873,0.9991701304516898
user_001,4926970929020949,0.9991688496183853
user_001,4926009972031527,0.9991687588408837
user_003,4677811932430388,0.9996686184878298
user_003,4695816603107409,0.9996346642545596
user_003,4736081359470613,0.9995378699033967
user_003,4794446697660524,0.9994592441189531
user_003,4783867228520563,0.9993764108594746
user_003,4925285896749098,0.9992081711371792
user_003,4925577505734700,0.9992071805102098
user_003,4926770097356873,0.9992048945272296
user_003,4926970929020949,0.9992036407636262
user_003,4926009972031527,0.999203551676286
user_010,4677811932430388,0.9996175740472211
user_010,4695816603107409,0.9995811645767806
user_010,4736081359470613,0.9994780184150978
user_010,4794446697660524,0.9993945626820583
user_010,4783867228520563,0.9993075948346674
user_010,4925285896749098,0.9991302738130716
user_010,4925577505734700,0.9991292356377018
user_010,4926770097356873,0.9991268400420827
user_010,4926970929020949,0.9991255262332158
user_010,4926009972031527,0.9991254331154554
user_012,4677811932430388,0.9997853778326713
user_012,4695816603107409,0.9997578869324608
user_012,4736081359470613,0.9996778257993906
user_012,4794446697660524,0.9996118736307441
user_012,4783867228520563,0.9995399996897738
user_012,4925285896749098,0.9993955318821164
user_012,4925577505734700,0.9993946664107963
user_012,4926770097356873,0.9993926684893697
user_012,4926970929020949,0.9993915729486591
user_012,4926009972031527,0.9993914965038551
user_016,4677811932430388,0.9995779664532648
user_016,4695816603107409,0.9995397658951114
user_016,4736081359470613,0.9994319903135196
user_016,4794446697660524,0.9993449969289498
user_016,4783867228520563,0.999255038756298
user_016,4925285896749098,0.9990710464370659
user_016,4925577505734700,0.9990699735692256
user_016,4926770097356873,0.9990674978394797
user_016,4926970929020949,0.9990661402799441
user_016,4926009972031527,0.9990660449234569
user_019,4677811932430388,0.9995797770853715
user_019,4695816603107409,0.9995416565900407
user_019,4736081359470613,0.9994340880476973
user_019,4794446697660524,0.9993472524526907
user_019,4783867228520563,0.99925742857353
user_019,4925285896749098,0.9990737333339988
user_019,4925577505734700,0.9990726620167558
user_019,4926770097356873,0.9990701898648133
user_019,4926970929020949,0.999068834262185
user_019,4926009972031527,0.9990687390227704
user_023,4677811932430388,0.9997247898938327
user_023,4695816603107409,0.9996937706747968
user_023,4736081359470613,0.999604573397448
user_023,4794446697660524,0.9995317077679209
user_023,4783867228520563,0.9994538418961907
user_023,4925285896749098,0.9992964135243705
user_023,4925577505734700,0.9992954797322577
user_023,4926770097356873,0.9992933246181883
user_023,4926970929020949,0.9992921426844067
user_023,4926009972031527,0.999292059088161
user_031,4677811932430388,0.9996005575262824
user_031,4695816603107409,0.9995633674574267
user_031,4736081359470613,0.999458203321495
user_031,4794446697660524,0.9993732070234271
user_031,4783867228520563,0.9992849336891176
user_031,4925285896749098,0.9991047091728555
user_031,4925577505734700,0.9991036558781959
user_031,4926770097356873,0.9991012253730518
user_031,4926970929020949,0.9990998924920873
user_031,4926009972031527,0.9990997983380713
user_034,4677811932430388,0.9998982978847865
user_034,4695816603107409,0.99987909482437
user_034,4736081359470613,0.999820467798427
user_034,4794446697660524,0.9997708455359595
user_034,4783867228520563,0.9997128838684541
user_034,4925285896749098,0.9995991561420439
user_034,4925577505734700,0.9995984512059276
user_034,4926770097356873,0.9995968236453349
user_034,4926970929020949,0.9995959307261069
user_034,4926009972031527,0.9995958666405844
user_040,4677811932430388,0.9995704886519226
user_040,4695816603107409,0.9995319566331116
user_040,4736081359470613,0.9994233200289271
