,unique_id,其他,影视,物料,舞台,avg_cate_play_ratio,avg_video_popularity
0,5260727951228931,True,False,False,False,0.00013991306186944343,0.3181161645597873
1,5260727041064991,True,False,False,False,6.670305537655894e-05,0.31795854099859233
2,5259772249964614,True,False,False,False,0.00011950283444877933,0.3183068974846927
3,5259312390406147,True,False,False,False,0.000107931896271213,0.3181952784074947
4,5258677444345963,True,False,False,False,0.00026887230226406233,0.31810943055836816
5,5258598297567259,True,False,False,False,5.363470167013107e-05,0.31794878739774496
6,5258337558921233,True,False,False,False,6.339059072180466e-05,0.3151755256676211
7,5258324715962484,True,False,False,False,0.00011820507432376602,0.3152164366045087
8,5257904945823921,True,False,False,False,9.437347930079407e-05,0.3177732267408245
9,5257125790679048,True,False,False,False,7.88457340287815e-05,0.3175556714135887
10,5256400687792164,True,False,False,False,8.368283994928572e-05,0.3173533154476735
11,5256399169716267,True,False,False,False,6.85181045024517e-05,0.3173419972066902
12,5256017466818569,True,False,False,False,0.00013211742587373402,0.31728648165436624
13,5255790815019067,True,False,False,False,0.00011911259888671239,0.31717379239040866
14,5255777905213512,True,False,False,False,9.143309971684779e-05,0.3171531337219472
15,5255307668946956,True,False,False,False,0.00017599623849215676,0.31711326457098266
16,5253269703032933,True,False,False,False,0.00017052386537761308,0.3150495187216724
17,5253251860463668,True,False,False,False,0.000378964106995141,0.3166468517254569
18,5252169298018349,True,False,False,False,0.00014000381432573806,0.3158506046112755
19,5250073773146497,False,False,False,True,0.00018430563296548304,0.3155400162351232
20,5250071521067117,False,False,False,True,0.00016341725665101084,0.31552835932744383
21,5250043062714494,False,False,False,True,0.00028835911939360315,0.31559808402683476
22,5250011345125535,False,False,False,True,0.0001414001069508109,0.31551607249970964
23,5249992919547919,True,False,False,False,0.0002591164132124079,0.3156305553896558
24,5249156722393109,False,True,False,False,0.027475562521966562,0.3153335556288513
25,5249155468296277,False,True,False,False,0.021901179601615153,0.31531278858704714
26,5249134521679881,True,False,False,False,0.0002730106142711483,0.3154349592109945
27,5248831982338104,True,False,False,False,0.0001337781958239259,0.3152280596455186
28,5248140001869939,True,False,False,False,0.00011110823224152531,0.31500517370448644
29,5247519500730454,True,False,False,False,0.00014715510788175553,0.3148261112339282
30,5247381881684009,True,False,False,False,0.00016278268085568153,0.3147347918384938
31,5247353699893310,True,False,False,False,0.00012260656845405595,0.3148077893656698
32,5246758398132259,False,True,False,False,0.0312354528935537,0.3146266813482672
33,5246725082775599,True,False,False,False,0.00011167089747055206,0.3145936613453985
34,5246456500781085,False,False,False,True,0.0006159218735900615,0.31475105199823844
