user_id,其他,影视,物料,舞台,avg_cate_play_ratio,avg_video_popularity
user_001,20.9,0.0,0.0,0.0,0.00023692920410768817,0.2490517645143124
user_002,16.2,0.0,0.0,0.0,0.00011134411672315815,0.26137362853472856
user_003,16.8,0.0,0.0,0.0,0.00015419489032706952,0.24367175250884385
user_004,19.8,0.0,0.0,0.0,0.0001262492735357787,0.25412506560869064
user_005,39.6,0.0,0.0,0.0,9.116571585443401e-05,0.2687020519897745
user_006,26.4,0.0,0.0,0.0,0.00015394685769384002,0.24983549324947535
user_007,19.2,0.0,0.0,0.0,0.000766407628564269,0.23662868350820154
user_008,30.800000000000004,0.0,0.0,0.0,0.0001408057545921994,0.25150079583707147
user_009,7.700000000000001,0.0,0.0,0.0,0.0003690147909945241,0.2543059956580874
user_010,28.799999999999997,0.0,0.0,0.0,0.00011447652179353429,0.2525287242243685
user_011,16.2,0.0,0.0,0.0,0.00048072204141039285,0.267846351062202
user_012,8.399999999999999,0.0,0.0,0.0,0.0007953881187254333,0.24850564111413434
user_013,66.3,0.0,0.0,0.0,0.0003289264606512636,0.25621870183740636
user_014,11.200000000000001,0.0,0.0,0.0,0.00045287126602138936,0.24957196405165533
user_015,20.0,0.0,0.0,0.5,0.0006368867914157817,0.24416767524664953
user_016,56.099999999999994,0.0,0.0,0.0,0.001400549982201448,0.25678448970415635
user_017,23.400000000000002,0.0,0.0,0.0,0.00015659728047941697,0.24986679957601726
user_018,6.0,0.0,0.0,0.0,0.0002021462997393699,0.24049059242497736
user_019,50.699999999999996,0.0,0.0,0.0,0.0012486287683073406,0.24155767808719109
user_020,39.0,0.0,0.0,0.0,0.0004216827132694946,0.24864174901997307
user_021,35.2,0.0,0.0,0.0,0.00017599877489909654,0.26632429850327316
user_022,32.0,0.0,0.0,0.0,0.00013178211294565288,0.2404782110787505
user_023,11.399999999999999,0.0,0.0,0.0,0.00044665178106794557,0.24344080190787923
user_024,41.0,0.0,0.0,0.0,0.000566743162233652,0.2460435203723518
user_025,36.3,0.0,0.0,0.0,0.00013393152589887832,0.24844295630858457
